#date=2025-05-13 23:56:24
#batch_size=128
#test_batch_size=64
#aug_batch_size=2048
#base_lr=0.1
#actual_lr=0.2
#epochs=200
#model=CIFAR-ResNet18
#optimizer=Adam
"#scheduler=StepLR(step_size=5, gamma=0.1)"
"#alpha_list=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
#num_workers=2
"#data_augment=RandomCrop, RandomHorizontalFlip, ColorJitter, Normalize"
# mixup_alpha=
# cutmix_alpha=
# randaugment_n=
# randaugment_m=
# randomerasing_p=
epoch,alpha=0.0_acc,alpha=0.1_acc,alpha=0.2_acc,alpha=0.3_acc,alpha=0.4_acc,alpha=0.5_acc,alpha=0.6_acc,alpha=0.7_acc,alpha=0.8_acc,alpha=0.9_acc,alpha=1.0_acc,alpha=0.0_loss,alpha=0.1_loss,alpha=0.2_loss,alpha=0.3_loss,alpha=0.4_loss,alpha=0.5_loss,alpha=0.6_loss,alpha=0.7_loss,alpha=0.8_loss,alpha=0.9_loss,alpha=1.0_loss
118,0.8267,0.8669,0.8407,0.8476,0.8426,0.8316,0.8318,0.8524,0.8563,0.8615,0.849,0.4198,0.2652,0.4136,0.504,0.2988,0.431,0.4327,0.3599,0.3909,0.3885,0.3427
119,0.8313,0.8638,0.8444,0.8392,0.8413,0.8349,0.8313,0.8587,0.8585,0.8575,0.847,0.4266,0.4213,0.4355,0.526,0.3378,0.5444,0.4972,0.4205,0.3969,0.3108,0.351
120,0.8298,0.8688,0.8402,0.8423,0.8434,0.8357,0.8341,0.8606,0.8548,0.8624,0.8526,0.5562,0.2642,0.4503,0.2447,0.3827,0.4649,0.2287,0.297,0.3391,0.3065,0.3541
121,0.8283,0.8666,0.8393,0.8435,0.8467,0.8356,0.8323,0.855,0.8584,0.8613,0.8532,0.4131,0.2931,0.3236,0.4809,0.4311,0.3613,0.378,0.3359,0.4065,0.3951,0.3169
122,0.8261,0.8645,0.8429,0.8401,0.8455,0.8357,0.8331,0.8575,0.8577,0.8624,0.8496,0.3998,0.2151,0.4264,0.6522,0.3701,0.3698,0.4558,0.2918,0.333,0.3808,0.3793
123,0.825,0.8692,0.8427,0.8407,0.8429,0.8357,0.8318,0.8559,0.8556,0.8606,0.8467,0.4295,0.3485,0.3762,0.4256,0.3997,0.4458,0.3471,0.416,0.2938,0.3049,0.4109
124,0.8318,0.8654,0.8381,0.8418,0.847,0.8357,0.8335,0.8568,0.8563,0.8576,0.8494,0.378,0.2499,0.3596,0.4904,0.3795,0.4037,0.4348,0.3118,0.4466,0.3479,0.4793
125,0.8258,0.8646,0.8413,0.8437,0.8448,0.8385,0.8305,0.8574,0.8564,0.8614,0.8509,0.4511,0.3855,0.4553,0.3889,0.3719,0.367,0.5228,0.2545,0.3534,0.3698,0.3363
126,0.8274,0.8671,0.8422,0.8447,0.8453,0.8359,0.8326,0.8561,0.8566,0.857,0.8503,0.4635,0.3481,0.3261,0.3524,0.3829,0.5237,0.4367,0.3868,0.3474,0.3573,0.3557
127,0.827,0.8667,0.8399,0.8422,0.8469,0.834,0.8332,0.8574,0.8508,0.8645,0.8517,0.3718,0.2955,0.3746,0.3682,0.4033,0.5549,0.4117,0.2157,0.314,0.2202,0.2901
128,0.8309,0.8689,0.8393,0.8431,0.8457,0.8328,0.832,0.861,0.8546,0.8587,0.8528,0.343,0.2955,0.325,0.3922,0.4192,0.3081,0.418,0.2822,0.2885,0.502,0.4723
129,0.8277,0.8659,0.8385,0.8435,0.8427,0.8306,0.8365,0.8594,0.8561,0.8591,0.8512,0.404,0.416,0.3833,0.4713,0.4341,0.402,0.4566,0.3006,0.3494,0.3003,0.3097
130,0.8312,0.8695,0.84,0.8403,0.8416,0.8408,0.8343,0.857,0.8529,0.8605,0.8479,0.3442,0.3638,0.41,0.4051,0.415,0.4942,0.387,0.3199,0.3201,0.5106,0.3471
131,0.8315,0.8696,0.841,0.8405,0.8427,0.838,0.8286,0.8572,0.8586,0.8584,0.8512,0.3177,0.2739,0.5563,0.465,0.3588,0.4524,0.3575,0.4076,0.3985,0.3353,0.4189
132,0.8342,0.8659,0.8419,0.8419,0.8392,0.8343,0.8364,0.8584,0.8586,0.8582,0.8529,0.545,0.3158,0.3429,0.3716,0.407,0.4682,0.5097,0.3338,0.4217,0.3131,0.408
133,0.8282,0.8676,0.8414,0.8403,0.8444,0.8337,0.8351,0.8609,0.8536,0.862,0.8508,0.5025,0.2349,0.4207,0.5577,0.3848,0.4811,0.547,0.212,0.4622,0.3539,0.3356
134,0.8315,0.8659,0.8358,0.8427,0.8436,0.8341,0.8344,0.8607,0.8565,0.8589,0.8506,0.4155,0.3023,0.4231,0.2634,0.4583,0.4409,0.4672,0.3281,0.2907,0.4004,0.3483
135,0.8285,0.8657,0.8367,0.8446,0.8416,0.8359,0.8334,0.8586,0.857,0.8574,0.8491,0.4098,0.3182,0.4126,0.3282,0.3953,0.4213,0.4017,0.4645,0.3495,0.2766,0.375
136,0.8293,0.8635,0.841,0.8428,0.8445,0.8345,0.8352,0.8555,0.8532,0.8604,0.8497,0.4107,0.5845,0.3225,0.3179,0.4188,0.6329,0.3038,0.2682,0.3476,0.3134,0.3598
137,0.8295,0.8666,0.8408,0.843,0.8454,0.8338,0.8347,0.8565,0.851,0.8601,0.8535,0.4541,0.3351,0.5187,0.5057,0.4891,0.4402,0.4019,0.3945,0.417,0.3506,0.3587
138,0.8274,0.8694,0.8453,0.8453,0.8392,0.8372,0.8337,0.8571,0.861,0.8571,0.851,0.4157,0.2786,0.4659,0.3289,0.4539,0.476,0.2237,0.3356,0.2912,0.3653,0.5293
139,0.8266,0.8629,0.8433,0.841,0.8462,0.8319,0.836,0.8582,0.8556,0.8585,0.8495,0.4166,0.3301,0.4795,0.4282,0.4046,0.4125,0.3129,0.3197,0.259,0.3143,0.4546
140,0.8316,0.8667,0.841,0.8405,0.8439,0.8333,0.8349,0.859,0.8574,0.8579,0.8534,0.6583,0.2814,0.3728,0.4293,0.2726,0.4422,0.423,0.3881,0.2925,0.4363,0.3706
141,0.8296,0.8675,0.8445,0.8419,0.8414,0.8365,0.8375,0.8571,0.8541,0.8606,0.8474,0.3434,0.2853,0.3494,0.4329,0.3139,0.4761,0.4775,0.3006,0.3111,0.3502,0.3324
142,0.8333,0.8672,0.8395,0.8445,0.8442,0.8353,0.8341,0.8578,0.8607,0.8586,0.8509,0.396,0.3021,0.3991,0.4494,0.3533,0.5569,0.3977,0.3263,0.3336,0.3408,0.3306
143,0.8301,0.8689,0.8417,0.8436,0.8434,0.8358,0.8343,0.8569,0.8534,0.8579,0.8499,0.4093,0.354,0.1433,0.4126,0.3331,0.4369,0.5688,0.4684,0.3389,0.3492,0.488
144,0.8318,0.8679,0.8427,0.8404,0.8424,0.8352,0.8324,0.8559,0.8544,0.8585,0.8498,0.5874,0.4527,0.397,0.4002,0.3818,0.4889,0.4156,0.2828,0.3218,0.3576,0.2625
145,0.8277,0.8667,0.8431,0.8401,0.8418,0.837,0.8329,0.8568,0.8583,0.8577,0.8478,0.4095,0.3073,0.4286,0.3718,0.3164,0.4239,0.4733,0.3926,0.35,0.2065,0.3026
146,0.8318,0.8649,0.8404,0.8456,0.845,0.8373,0.8372,0.8579,0.8536,0.8604,0.8524,0.4612,0.2349,0.397,0.5516,0.5183,0.5109,0.376,0.2499,0.4741,0.3449,0.3489
147,0.8275,0.8637,0.8413,0.844,0.841,0.8381,0.8323,0.857,0.8554,0.8611,0.8444,0.351,0.2331,0.4589,0.342,0.2987,0.5136,0.3568,0.1973,0.2538,0.3245,0.2924
148,0.8293,0.8663,0.8424,0.8398,0.8453,0.8371,0.8373,0.86,0.8571,0.8632,0.8489,0.4996,0.3096,0.4146,0.5382,0.5356,0.4405,0.4437,0.2245,0.3278,0.3521,0.3003
149,0.8254,0.8634,0.8394,0.8419,0.8435,0.8331,0.8347,0.8578,0.8593,0.8584,0.8506,0.409,0.2199,0.2963,0.3708,0.5219,0.4362,0.3943,0.3711,0.3614,0.2628,0.4132
150,0.8249,0.867,0.8416,0.8423,0.8465,0.8347,0.8385,0.8515,0.8548,0.8557,0.8494,0.3794,0.3308,0.4664,0.4158,0.3064,0.4653,0.4657,0.2937,0.359,0.3281,0.3008
151,0.8288,0.8675,0.837,0.8398,0.8473,0.8328,0.8356,0.8558,0.8543,0.8566,0.8468,0.4352,0.3724,0.4021,0.3616,0.3046,0.4588,0.4748,0.3054,0.4211,0.3365,0.3341
152,0.8266,0.8648,0.845,0.8418,0.8453,0.8338,0.8305,0.8617,0.856,0.8606,0.852,0.4468,0.3462,0.3969,0.3799,0.5324,0.3821,0.3245,0.3851,0.3706,0.5536,0.2296
153,0.8295,0.8673,0.8424,0.8425,0.8447,0.8368,0.8305,0.8572,0.8564,0.8575,0.8493,0.4182,0.3228,0.3363,0.424,0.3315,0.4853,0.4487,0.4579,0.418,0.293,0.3886
154,0.8279,0.8643,0.8398,0.8377,0.8435,0.8332,0.8377,0.8574,0.8575,0.8561,0.8518,0.4913,0.3821,0.2553,0.4653,0.5427,0.4673,0.3668,0.3669,0.3336,0.3522,0.4445
155,0.8257,0.8641,0.8387,0.8426,0.8414,0.8354,0.8329,0.8565,0.8576,0.8583,0.8483,0.3772,0.4198,0.4389,0.3713,0.4408,0.4772,0.2962,0.4023,0.2964,0.4081,0.3865
156,0.8241,0.8687,0.8432,0.8394,0.8451,0.8378,0.8357,0.8549,0.8564,0.8567,0.8507,0.4025,0.332,0.2971,0.2818,0.4283,0.2925,0.5257,0.3553,0.3256,0.2847,0.2974
157,0.8276,0.8666,0.8393,0.8403,0.8441,0.8398,0.8357,0.8577,0.8544,0.8572,0.8532,0.3913,0.2377,0.289,0.4179,0.3712,0.4389,0.5322,0.269,0.3303,0.3458,0.2025
158,0.8326,0.8665,0.8419,0.8425,0.843,0.8356,0.8342,0.8535,0.8572,0.8609,0.8466,0.4334,0.2005,0.3802,0.3344,0.3563,0.3917,0.369,0.363,0.2682,0.2902,0.3252
159,0.8327,0.8634,0.843,0.844,0.8428,0.8362,0.8335,0.8588,0.8546,0.857,0.8514,0.4163,0.2149,0.4321,0.3133,0.4182,0.4366,0.3689,0.5357,0.3621,0.3228,0.3098
160,0.8293,0.8626,0.8435,0.8382,0.844,0.8373,0.8351,0.8575,0.8583,0.8577,0.8549,0.3594,0.3794,0.3426,0.4874,0.2387,0.4571,0.4964,0.2602,0.355,0.2685,0.4369
161,0.8294,0.8648,0.8421,0.839,0.8434,0.8326,0.8318,0.8549,0.8546,0.8596,0.8486,0.3583,0.3015,0.2907,0.3647,0.423,0.4883,0.3745,0.3798,0.2923,0.3601,0.2746
162,0.8326,0.8674,0.8412,0.8434,0.8422,0.8356,0.8326,0.8578,0.8563,0.8573,0.8505,0.5361,0.2878,0.2776,0.5027,0.3141,0.4458,0.4718,0.3521,0.439,0.2955,0.3538
163,0.8253,0.8637,0.8404,0.8451,0.8476,0.8301,0.8335,0.8578,0.8578,0.8615,0.8503,0.4116,0.2828,0.3193,0.4379,0.4256,0.4327,0.3767,0.3337,0.3521,0.4192,0.3611
164,0.8269,0.8674,0.8417,0.8444,0.8422,0.8352,0.8355,0.8566,0.8559,0.8596,0.8497,0.4036,0.2757,0.3991,0.4284,0.4736,0.5693,0.4469,0.2637,0.3419,0.332,0.3453
165,0.8261,0.8665,0.8413,0.8441,0.8429,0.8356,0.8371,0.8535,0.8568,0.8589,0.8494,0.4078,0.3357,0.2816,0.33,0.5521,0.5279,0.4684,0.2891,0.313,0.3473,0.347
166,0.8287,0.8667,0.8397,0.8378,0.8458,0.8326,0.8366,0.8594,0.8536,0.8586,0.8512,0.6432,0.2469,0.5275,0.3664,0.3512,0.3563,0.4519,0.3133,0.3578,0.3982,0.4062
167,0.8281,0.8676,0.8431,0.8434,0.8438,0.8369,0.8365,0.8584,0.8576,0.863,0.8533,0.5538,0.3182,0.3714,0.3867,0.2974,0.4127,0.3987,0.3591,0.3074,0.3089,0.3256
168,0.8294,0.8652,0.8412,0.84,0.8496,0.8328,0.8371,0.8598,0.8546,0.8595,0.854,0.3071,0.2759,0.4267,0.4956,0.3571,0.3566,0.5549,0.2424,0.2171,0.4372,0.3208
169,0.829,0.8699,0.842,0.8418,0.8435,0.839,0.8342,0.8577,0.8559,0.8574,0.8524,0.3984,0.2318,0.356,0.2255,0.378,0.4411,0.3971,0.3894,0.3475,0.3427,0.2783
170,0.8286,0.8659,0.8426,0.8452,0.8428,0.8352,0.8327,0.8578,0.8581,0.8596,0.8513,0.4641,0.2341,0.4759,0.3416,0.4436,0.473,0.4388,0.368,0.3647,0.3368,0.3798
171,0.8283,0.8637,0.8386,0.8447,0.8403,0.8354,0.8346,0.8609,0.856,0.8592,0.8561,0.2863,0.3488,0.3439,0.409,0.4405,0.4571,0.6008,0.3471,0.2956,0.366,0.337
172,0.8276,0.8665,0.8395,0.8443,0.8455,0.8362,0.834,0.8577,0.8595,0.8598,0.8504,0.468,0.3445,0.3316,0.2991,0.3009,0.5232,0.4111,0.3314,0.3607,0.3935,0.2944
173,0.833,0.8701,0.8411,0.841,0.8443,0.8297,0.8321,0.8581,0.8545,0.8587,0.8474,0.383,0.3056,0.3959,0.3482,0.3615,0.4377,0.3948,0.353,0.38,0.5857,0.36
174,0.8286,0.868,0.8408,0.8407,0.8456,0.8354,0.8342,0.8567,0.8587,0.8611,0.8526,0.4221,0.3206,0.3343,0.2978,0.3851,0.456,0.3435,0.2498,0.2975,0.3419,0.3358
175,0.8279,0.8676,0.8391,0.845,0.8434,0.8313,0.8327,0.8578,0.8546,0.8562,0.849,0.503,0.2874,0.4511,0.4027,0.3756,0.4734,0.3787,0.3331,0.3073,0.393,0.3354
176,0.8293,0.8632,0.837,0.8422,0.8452,0.8352,0.8352,0.8583,0.8575,0.8626,0.8481,0.6335,0.3265,0.4094,0.3262,0.4273,0.4383,0.2823,0.4039,0.5312,0.2748,0.3757
177,0.8288,0.8653,0.8415,0.8406,0.8423,0.8352,0.836,0.8547,0.856,0.8554,0.8507,0.4188,0.2493,0.3634,0.3496,0.2873,0.3463,0.5769,0.405,0.3385,0.3039,0.3672
178,0.8292,0.8654,0.8421,0.8412,0.8393,0.837,0.8341,0.8582,0.8557,0.8591,0.8502,0.4678,0.327,0.4218,0.4175,0.4997,0.4051,0.4344,0.2817,0.4102,0.3854,0.3146
179,0.8284,0.8664,0.845,0.8422,0.8449,0.8338,0.8337,0.8587,0.858,0.8602,0.8538,0.3421,0.2067,0.3775,0.5924,0.3208,0.4943,0.4088,0.267,0.3784,0.3326,0.2165
180,0.8306,0.8697,0.839,0.8425,0.8459,0.8329,0.8315,0.8566,0.8588,0.8537,0.8502,0.3353,0.3981,0.3113,0.4029,0.2881,0.4684,0.4477,0.2686,0.3615,0.3237,0.3724
181,0.8293,0.8661,0.8391,0.8424,0.8431,0.834,0.8349,0.8583,0.8584,0.8576,0.8511,0.5076,0.2914,0.3655,0.4611,0.4661,0.4307,0.3574,0.4479,0.2973,0.3446,0.3244
182,0.8265,0.864,0.8417,0.8448,0.8462,0.8326,0.8357,0.8607,0.8571,0.8559,0.8543,0.5686,0.147,0.3231,0.3489,0.4499,0.3707,0.4735,0.2904,0.3288,0.2637,0.3689
183,0.8264,0.8654,0.8369,0.8406,0.8435,0.8304,0.833,0.8546,0.8565,0.8583,0.8492,0.3408,0.306,0.4422,0.414,0.3961,0.4627,0.3316,0.3243,0.3033,0.303,0.4461
184,0.8293,0.8667,0.8433,0.8446,0.8421,0.8308,0.8296,0.8569,0.8561,0.8575,0.8502,0.5683,0.37,0.4071,0.2446,0.3723,0.3898,0.3142,0.4633,0.5429,0.4376,0.5553
185,0.8293,0.8674,0.8394,0.8428,0.848,0.8356,0.8364,0.8549,0.8544,0.8585,0.8506,0.34,0.2835,0.3132,0.3068,0.3431,0.2985,0.3631,0.2912,0.3561,0.3663,0.4034
186,0.8271,0.8629,0.8409,0.8416,0.8427,0.8361,0.8366,0.8577,0.8545,0.8592,0.8517,0.2931,0.3369,0.4394,0.4281,0.3044,0.5356,0.3303,0.3297,0.3656,0.2894,0.4327
187,0.8275,0.8666,0.8368,0.8429,0.8477,0.8335,0.8381,0.8546,0.8588,0.8592,0.853,0.3667,0.3242,0.4048,0.4412,0.4081,0.4008,0.3489,0.4468,0.2797,0.2486,0.3443
188,0.8263,0.8659,0.8424,0.8423,0.8414,0.8354,0.8358,0.8599,0.8544,0.859,0.8493,0.5115,0.2741,0.412,0.3991,0.3588,0.3817,0.376,0.4026,0.4349,0.3559,0.2894
189,0.8277,0.8668,0.8423,0.8423,0.8441,0.8344,0.8342,0.8566,0.8568,0.8553,0.8495,0.5407,0.2778,0.4901,0.4397,0.3761,0.3309,0.5458,0.2374,0.3157,0.2521,0.3661
190,0.828,0.8657,0.8409,0.8399,0.8445,0.8331,0.8333,0.855,0.8572,0.8589,0.853,0.5781,0.4064,0.4205,0.2802,0.3721,0.3942,0.465,0.2527,0.2156,0.4021,0.3961
191,0.8236,0.8649,0.838,0.8439,0.843,0.8295,0.835,0.8569,0.8542,0.8584,0.8534,0.5588,0.2276,0.4358,0.3352,0.2757,0.4716,0.3336,0.3064,0.3119,0.2987,0.4513
192,0.8276,0.8672,0.8373,0.8417,0.8437,0.8354,0.837,0.856,0.8582,0.859,0.85,0.4688,0.2333,0.3705,0.4741,0.3415,0.3925,0.4049,0.4008,0.2728,0.2966,0.2962
193,0.827,0.8648,0.8405,0.8414,0.8383,0.8341,0.8344,0.8574,0.8538,0.8545,0.8498,0.3416,0.2402,0.3638,0.4365,0.4011,0.2984,0.4587,0.3855,0.3292,0.3224,0.2741
194,0.8316,0.8699,0.839,0.84,0.8435,0.8353,0.8304,0.8607,0.8544,0.8578,0.8488,0.4417,0.2554,0.5269,0.4618,0.3979,0.426,0.3986,0.3174,0.3294,0.4363,0.1905
195,0.8289,0.8662,0.8419,0.8462,0.8471,0.8325,0.8364,0.8593,0.8563,0.8605,0.8498,0.5415,0.3078,0.2769,0.366,0.3909,0.289,0.4773,0.3249,0.4626,0.2905,0.3462
196,0.8287,0.8677,0.8416,0.8421,0.8444,0.8374,0.8319,0.8581,0.8547,0.8568,0.8517,0.3901,0.2424,0.5361,0.4222,0.3944,0.3885,0.289,0.3571,0.3299,0.4383,0.3686
197,0.8278,0.865,0.8389,0.8416,0.8443,0.8361,0.8411,0.8578,0.8586,0.8565,0.8514,0.5715,0.2083,0.3704,0.302,0.4951,0.4719,0.6076,0.2956,0.293,0.3438,0.4773
198,0.8254,0.8663,0.8429,0.8404,0.8409,0.8357,0.8307,0.8579,0.8576,0.8561,0.8512,0.5124,0.341,0.3556,0.4256,0.4461,0.4538,0.527,0.3957,0.2591,0.3642,0.3667
199,0.8264,0.8683,0.8408,0.8402,0.8434,0.8354,0.8342,0.8602,0.8555,0.8611,0.8502,0.4567,0.3067,0.3448,0.359,0.4451,0.5262,0.3308,0.2456,0.3311,0.3399,0.3623
200,0.8245,0.8631,0.8419,0.8387,0.8437,0.8385,0.8334,0.8533,0.8544,0.8604,0.851,0.4562,0.2202,0.4928,0.4365,0.3933,0.4017,0.4981,0.2366,0.4189,0.4639,0.2385
